Arrêt Code Long;Arrêt;Commune;Pays;CodeDidoc;Coordonnées;Actif
_BSDNF;Bossy-Dne - F;VERSONNEX;FR;;46.286907, 6.104478;Y
_BSDNS;Bossy-Dne - CH;COLLEX-BOSSY;CH;;46.287045, 6.104423;Y
_CERNF;CERN-Dne - F;PRÉVESSIN-MOËNS;FR;;46.235073, 6.050063;Y
_CERNS;CERN-Dne - CH;MEYRIN;CH;;46.234905, 6.050015;Y
_CHGIF;Chavannes-de-Bogis Douane dir. F;DIVONNE-LES-BAINS;FR;;46.345238, 6.154396;N
_CYDNF;Chancy-Dne_F;POUGNY;FR;;46.144291, 5.964744;Y
_CYDNS;Chancy-Dne_CH;CHANCY;CH;;46.144279, 5.964719;Y
_GSDNS;Grand-Saconnex-Dne - CH;LE GRAND-SACONNEX;CH;;46.248722, 6.120587;Y
_HEDOS;Hermance-Dne - CH;HERMANCE;CH;;46.302792, 6.247491;Y
_LADNS;Landecy-Dne - CH;BARDONNEX;CH;;46.141899, 6.132539;Y
_MOILF;Moillesulaz - F;GAILLARD;FR;;46.192303, 6.206844;Y
_PART;Terminus partiel;PUPLINGE;CH;;46.213306, 6.234388;N
_PEDOS;Perly-Dne - CH;PERLY-CERTOUX;CH;;46.151379, 6.089943;Y
_PLDOF;La Plaine-Dne - F;CHALLEX;FR;;46.177319, 5.991244;Y
_SADNF;Sauverny-Douane - F;SAUVERNY;FR;;46.311798, 6.120081;N
2MON00;Deux Montagnes;VILLE-LA-GRAND;FR;8595775;46.207569, 6.280971;N
31DC00;31 Décembre;GENÈVE;CH;8592773;46.201679, 6.161931;Y
3NOY01;Trois Noyers;VETRAZ-MONTHOUX;FR;8595860;46.179386, 6.245548;N
AAIN01;Avenue de l'Ain;VERNIER;CH;8593138;46.206238, 6.110056;Y
ABBA00;L'Abbaye;JUSSY;CH;8592965;46.222214, 6.251443;Y
ABBA01;L'Abbaye;JUSSY;CH;8592965;46.221935, 6.251527;Y
ABHP01;Ambilly ancien hôpital;AMBILLY;FR;8595740;46.197041, 6.227416;N
ABMA00;Ambilly Mairie;AMBILLY;FR;;46.195675, 6.223278;N
ABON00;Abondance;VILLE-LA-GRAND;FR;8595734;46.20348, 6.264939;N
ACAC00;Acacias;GENÈVE;CH;8592774;46.192608, 6.138086;Y
ACCM00;Archamps-Communauté-Communes;ARCHAMPS;FR;1401703;46.13802, 6.117425;N
ACCM01;Archamps-Communauté-Communes;ARCHAMPS;FR;1401703;46.137932, 6.117454;N
ACIA00;Acacias (F);AMBILLY;FR;8595365;46.191887, 6.220741;N
ACLP01;Avusy-Creux-du-Loup;AVUSY;CH;8595011;46.152206, 5.996209;N
ADLI01;Adrien Ligué;ANNEMASSE;FR;8595735;46.194099, 6.233103;N
ADOU00;Prévessin-Ancienne-Douane;PRÉVESSIN-MOËNS;FR;1401776;46.247616, 6.079414;Y
AERO05;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.23106, 6.110164;Y
AERO07;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230312, 6.109378;Y
AERO09;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230095, 6.10906;Y
AEROST;Aéroport Stationnement;LE GRAND-SACONNEX;CH;8592775;46.230373, 6.109453;N
AFER00;Alphonse-Ferrand;BERNEX;CH;8595224;46.165611, 6.055057;N
AGLA00;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254463, 6.067934;Y
AGLA01;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254604, 6.067879;Y
AGLI01;Anemasse-Glières;ANNEMASSE;FR;;46.188515, 6.243896;N
AIRE00;Aïre;VERNIER;CH;8593137;46.201393, 6.104383;Y
AIVI00;Aire-la-Ville-Centre;AIRE-LA-VILLE;CH;8587028;46.189987, 6.043569;Y
AIVT01;Aire-la-Ville-Treulaz;AIRE-LA-VILLE;CH;8592620;46.185955, 6.045369;N
AJEN01;Jeandin;THÔNEX;CH;8593106;46.190308, 6.198431;Y
AJEN99;Jeandin;THÔNEX;CH;8593106;46.190208, 6.198447;N
AJUR00;Ferney, centre;FERNEY-VOLTAIRE;FR;1401732;46.258194, 6.113211;Y
ALBA00;Avully-Bachères;AVULLY;CH;8595953;46.164593, 5.992242;Y
ALCM00;Allondon Camping;DARDAGNY;CH;;46.219395, 6.001043;N
ALEC01;Avully-Ecole;AVULLY;CH;8592627;46.167168, 6.005124;Y
ALMA00;Avully-Martinet;AVULLY;CH;8592628;46.158741, 5.986507;Y
ALPE01;Alpes;GENÈVE;CH;8592777;46.209145, 6.146775;N
ALPE98;Alpes;GENÈVE;CH;8592777;46.209, 6.14702;N
ALPR00;Altéa-P+R;CRANVES-SALES;FR;8505934;46.206268, 6.287698;N
ALTE03;Chasseurs;VILLE-LA-GRAND;FR;8595739;46.205807, 6.283778;N
AMAR01;Ami-Argand;VERSOIX;CH;8593182;46.286003, 6.160705;N
AMDO02;Amandolier;GENÈVE;CH;8592778;46.199718, 6.167406;Y
AMDO99;Amandolier;GENÈVE;CH;8592778;46.199959, 6.168462;N
ANCH00;Anières-Chavannes;ANIÈRES;CH;8592621;46.283092, 6.229185;Y
ANCH01;Anières-Chavannes;ANIÈRES;CH;8592621;46.283009, 6.229056;Y
ANCI01;Ancienne;CAROUGE;CH;8592668;46.18111, 6.140731;Y
ANCI99;Ancienne;CAROUGE;CH;8592668;46.181046, 6.140062;Y
ANER00;Ancienne-Route;LE GRAND-SACONNEX;CH;;46.238861, 6.124002;N
ANEX00;Annexion;ANNEMASSE;FR;8595742;46.186184, 6.238395;N
ANFR00;Ancienne Fruitière;SAINT-CERGUES;FR;8595741;46.230709, 6.317865;N
ANGA05;Annemasse Gare OT;ANNEMASSE;FR;1401854;46.198792, 6.237547;N
ANGA06;Annemasse Gare;ANNEMASSE;FR;1401854;46.19812, 6.235757;N
ANGA11;Annemasse Gare (Nord);ANNEMASSE;FR;1401854;;N
ANGAST;Annemasse Gare Stationnement;ANNEMASSE;FR;1401854;46.199059, 6.237925;N
ANGL00;Angleterre;GENÈVE;CH;;46.209602, 6.15059;N
ANGN00;Annemasse-Gare Rotonde;ANNEMASSE;FR;1401675;46.200794, 6.235209;N
ANGR01;Anières-Gravière;ANIÈRES;CH;8592625;46.28899, 6.237061;Y
ANGS01;Gare-Annemasse;ANNEMASSE;FR;1401854;46.199177, 6.237655;N
ANGS03;Gare-Annemasse;ANNEMASSE;FR;1401854;46.198841, 6.236924;N
ANGS05;Gare-Annemasse;ANNEMASSE;FR;1401854;46.199474, 6.238038;N
ANMA01;Anières-Mairie;ANIÈRES;CH;8595010;46.274727, 6.227606;Y
ANPT02;Annemasse Poste;ANNEMASSE;FR;8595361;46.194607, 6.233917;N
ANRS00;Anières-Village;ANIÈRES;CH;8587029;46.276932, 6.223249;Y
ANRS99;Anières-Mairie;ANIÈRES;CH;8587029;46.275307, 6.227156;N
APCB02;Archamps-Pont de Combe;ARCHAMPS;FR;1401637;46.139343, 6.129002;Y
APHO00;Aparthôtel;THOIRY;FR;;46.235847, 6.008456;N
APIA03;Appia;GENÈVE;CH;8588196;46.227661, 6.138014;Y
ARAN00;Arande;SAINT-JULIEN-EN-GENEVOIS;FR;1401795;46.140388, 6.080068;N
ARAR00;Arare;PLAN-LES-OUATES;CH;8593050;46.165424, 6.111233;Y
AREN01;Arena-Halle 7;LE GRAND-SACONNEX;CH;8592935;46.233032, 6.111853;Y
ARMA00;Louis Armand;VILLE-LA-GRAND;FR;;46.199551, 6.239883;N
ARMA01;Louis Armand;VILLE-LA-GRAND;FR;;46.199677, 6.239857;N
ARME02;Armes;CAROUGE;CH;8592669;46.186771, 6.139923;Y
ARME96;Armes;CAROUGE;CH;8592669;46.186909, 6.14053;N
ARPA01;Archamps Parc d'Affaires;ARCHAMPS;FR;;;N
ARTI01;Artisans;VILLE-LA-GRAND;FR;8595744;46.203392, 6.27335;N
ATCH01;Archamps-Technopole;ARCHAMPS;FR;8587380;46.139206, 6.120878;N
ATEC00;Athenaz-Ecole;AVUSY;CH;8592632;46.155231, 6.004169;Y
ATEC01;Athenaz-Ecole;AVUSY;CH;8592632;46.155254, 6.004194;N
ATEC02;Athenaz-Ecole;AVUSY;CH;8592632;46.155296, 6.004077;Y
ATHE03;Athénée;GENÈVE;CH;8592779;46.198288, 6.149093;Y
ATNA00;Athenaz;AVUSY;CH;;46.155178, 6.003177;N
ATPA03;Athenaz-Passeiry;AVUSY;CH;8592638;46.156116, 6.002087;Y
ATTV00;Attenville;LE GRAND-SACONNEX;CH;8592936;46.228069, 6.114282;Y
ATTV01;Attenville;LE GRAND-SACONNEX;CH;8592936;46.227665, 6.113772;Y
ATVI00;Athenaz-Village;AVUSY;CH;8587030;46.154583, 6.006995;Y
ATVI01;Athenaz-Village;AVUSY;CH;8587030;46.154594, 6.00706;Y
ATVI98;Athenaz-Village;AVUSY;CH;8587030;46.154659, 6.008719;N
AUBE01;Aubépine;GENÈVE;CH;8503333;46.187286, 6.147657;Y
AUBE98;Aubépine;GENÈVE;CH;8503333;46.18737, 6.147645;N
AUBE99;Aubépine;GENÈVE;CH;8503333;46.187218, 6.146526;N
AUBI01;Merle-d'Aubigné;GENÈVE;CH;8592854;46.206364, 6.16164;Y
AUGS01;Augustins;GENÈVE;CH;8592780;46.191856, 6.14383;Y
AUGS02;Augustins;GENÈVE;CH;8592780;46.191753, 6.144338;Y
AUGS03;Augustins;GENÈVE;CH;8592780;46.191631, 6.143681;N
AUGS04;Augustins;GENÈVE;CH;8592780;46.191708, 6.143342;Y
AUMO01;Aumônes;PUPLINGE;CH;8593082;46.210426, 6.234906;Y
AVAN98;Avanchet;VERNIER;CH;8593139;46.219536, 6.105546;N
AVCN04;Avanchets-Centre;VERNIER;CH;8593140;46.220905, 6.108912;N
AVCNST;Avanchet-Centre stationnement;VERNIER;CH;8593140;46.22081, 6.108995;N
AVEP00;Avully-Epeisses;AVULLY;CH;;46.168049, 5.984179;N
AVPP00;Aire-la-Ville-Pont-de-Peney;AIRE-LA-VILLE;CH;8592619;46.193054, 6.043671;Y
AVPP01;Aire-la-Ville-Pont-de-Peney;AIRE-LA-VILLE;CH;8592619;46.192822, 6.043496;Y
AVPPST;Aire-la-Ville-Pont-de-Peney Stationnement;AIRE-LA-VILLE;CH;8592619;46.192978, 6.045046;N
AVSY00;Avusy-Village;AVUSY;CH;8587032;46.151962, 5.993704;Y
BACI00;Bel-Air;GENÈVE;CH;8592787;46.203777, 6.144609;N
BACI01;Bel-Air (Cité);GENÈVE;CH;8592787;46.204082, 6.14376;N
BAIR01;Bel-Air;GENÈVE;CH;8587387;46.204826, 6.143483;Y
BAIR03;Bel-Air;GENÈVE;CH;8587387;46.204456, 6.143751;N
BAIR04;Bel-Air;GENÈVE;CH;8587387;46.204395, 6.142016;Y
BAIR05;Bel-Air;GENÈVE;CH;8587387;46.203693, 6.144599;Y
BAIR06;Bel-Air;GENÈVE;CH;8587387;46.203976, 6.143879;Y
BAIR07;Bel-Air;GENÈVE;CH;8587387;46.2034, 6.142519;Y
BAIR08;Bel-Air;GENÈVE;CH;8587387;;N
BAIR99;Bel-Air;GENÈVE;CH;8587387;46.204281, 6.143211;N
BALM01;Rue de la Balme;ANNEMASSE;FR;;;N
BALX99;Balexert;VERNIER;CH;8593141;46.218636, 6.110207;N
BANS00;Bains;GENÈVE;CH;8592782;46.199856, 6.137421;Y
BANS01;Bains;GENÈVE;CH;8592782;;N
BAPO00;Bel-Air (Pont);GENÈVE;CH;;46.204651, 6.143086;N
BARA00;Les Baraques;CHALLEX;FR;1401656;46.176605, 5.985992;Y
BARA01;Les Baraques;CHALLEX;FR;1401656;46.176193, 5.986094;Y
BARD00;Barde;VERNIER;CH;8593142;46.206543, 6.098581;Y
BARD01;Barde;VERNIER;CH;8593142;46.20694, 6.09896;Y
BART00;Bartholoni;GENÈVE;CH;8592783;46.200184, 6.142493;N
BAU200;Baud;VILLE-LA-GRAND;FR;8505135;46.198231, 6.23921;N
BAU201;Baud;VILLE-LA-GRAND;FR;8505135;46.198322, 6.239468;N
BAUD11;Curé-Baud;LANCY;CH;8592982;46.174995, 6.115791;Y
BAUD99;Curé-Baud;LANCY;CH;8592982;46.176033, 6.118641;N
BBRU98;Bois-Brulé;LE GRAND-SACONNEX;CH;;46.244179, 6.126101;N
BCRE01;Baulacre;GENÈVE;CH;8592785;46.216457, 6.139293;Y
BDOU00;Bourdigny-Douane;SATIGNY;CH;8593092;46.229622, 6.038573;Y
BELC98;Belle-Cour;ONEX;CH;8593028;46.179745, 6.104823;N
BELI01;Bellevue-Limites;BELLEVUE;CH;8510154;46.261311, 6.143554;Y
BELS00;Bellins;PLAN-LES-OUATES;CH;8593053;46.16383, 6.129049;Y
BELS99;Bellins;PLAN-LES-OUATES;CH;8593053;46.163692, 6.128541;N
BEMA00;Beaumont Mairie;NEYDENS;FR;;46.094223, 6.10183;N
BERG01;La Bergue;CRANVES-SALES;FR;8595802;46.179722, 6.300303;N
BERV00;Beaumont-Route de Viry;NEYDENS;FR;1401707;46.093887, 6.10242;N
BESS01;Bessinge;COLOGNY;CH;8592740;46.224258, 6.191565;Y
BEVE00;Berges de Vessy;VEYRIER;CH;8506332;46.179264, 6.169409;N
BFOU00;Bourg-de-Four;GENÈVE;CH;8592792;46.200169, 6.148582;Y
BGOU00;Bois-Gourmand;VEYRIER;CH;8593192;46.172123, 6.172841;Y
BGOUST;Bois-Gourmand Stationnment;VEYRIER;CH;8593192;46.172157, 6.172674;N
BGRI00;Les Bougeries;VANDOEUVRES;CH;8593133;46.218822, 6.214929;Y
BGRT01;Bellevue, Rilliet;BELLEVUE;CH;8511141;46.251331, 6.144556;Y
BHET03;Lancy-Bachet-Gare;LANCY;CH;8587075;46.174019, 6.129529;Y
BHET06;Lancy-Bachet-Gare;LANCY;CH;8587075;46.174026, 6.129335;N
BHET08;Lancy-Bachet-Gare;LANCY;CH;8587075;46.173901, 6.129765;Y
BHET11;Lancy-Bachet-Gare;LANCY;CH;8587075;46.174477, 6.130101;N
BHET12;Lancy-Bachet-Gare;LANCY;CH;8587075;46.173851, 6.129572;N
BHET98;Lancy-Bachet-Gare;LANCY;CH;8587075;46.173904, 6.129765;N
BIBL01;Bibliothèque;AMBILLY;FR;8595746;46.199646, 6.22737;N
BICE03;CERN 3;MEYRIN;CH;;46.235264, 6.046;N
BICE04;CERN 4;MEYRIN;CH;;46.237579, 6.035413;N
BICH00;Biches;VILLE-LA-GRAND;FR;8595749;46.203953, 6.267093;N
BICH01;Biches;VILLE-LA-GRAND;FR;8595749;46.204052, 6.267517;N
BISA00;Belle-Idée-Réception;THÔNEX;CH;8592714;46.205296, 6.206408;Y
BISA99;Belle-Idée-Réception;THÔNEX;CH;8592714;46.205124, 6.205209;Y
BISE01;La Bise;COLLONGE-BELLERIVE;CH;8592734;46.243309, 6.198378;Y
BLAN00;Blanche;GENÈVE;CH;8592789;46.189182, 6.143104;Y
BLAN01;Blanche;GENÈVE;CH;8592789;46.18882, 6.142957;Y
BLAN99;Blanche;GENÈVE;CH;8592789;46.188622, 6.142319;N
BLDO01;Blandonnet;VERNIER;CH;8587924;46.221989, 6.097086;Y
BLDO02;Blandonnet;VERNIER;CH;8587924;46.222015, 6.097396;Y
BLDO04;Blandonnet;VERNIER;CH;8587924;46.222389, 6.096545;Y
BLDO96;Blandonnet;VERNIER;CH;8587924;46.222694, 6.094353;N
BLHE01;Centre sportif du Blanché;LE GRAND-SACONNEX;CH;8592938;46.240639, 6.128407;Y
BLHE02;Centre sportif du Blanché;PREGNY-CHAMBÉSY;CH;8592938;46.242302, 6.130663;Y
BLID99;Belle-Idée-Centre;THÔNEX;CH;8593107;46.206543, 6.208985;N
BLOC00;Château-Bloch;VERNIER;CH;8593151;46.208778, 6.098876;Y
BLOC01;Château-Bloch;VERNIER;CH;8593151;46.209087, 6.100035;Y
BLTE01;La Belotte;COLOGNY;CH;8592747;46.235199, 6.193739;Y
BMAI01;Bellevue-Mairie;BELLEVUE;CH;8503217;46.254112, 6.154099;Y
BMCP01;Bas-Monthoux Chapelle;VETRAZ-MONTHOUX;FR;8595747;46.188808, 6.265035;N
BMEC01;Bas-Monthoux École;VETRAZ-MONTHOUX;FR;8595748;46.187038, 6.27104;N
BMOL00;Bellevue-Mollies;BELLEVUE;CH;8503218;46.252449, 6.151922;Y
BMON00;Bout-du-Monde;GENÈVE;CH;8592793;46.181957, 6.157069;Y
BNDL00;Bandol;ONEX;CH;8593027;46.185875, 6.106019;Y
BNDL98;Bandol;ONEX;CH;8593027;46.185394, 6.103858;N
BOBO00;Bogis-Bossey;VAUD;CH;8579316;46.352249, 6.165253;N
BOCA00;Bois-Caran;COLLONGE-BELLERIVE;CH;8592725;46.248653, 6.200979;Y
BOCA01;Bois-Caran;COLLONGE-BELLERIVE;CH;8592725;46.248001, 6.200605;Y
BOCO01;Bourg d'en Haut (Collonges sous Salève);COLLONGES-SOUS-SALÈVE;FR;1401711;;N
BOHT03;Bouchet;VERNIER;CH;8592791;46.216888, 6.117146;Y
BOHT05;Bouchet;VERNIER;CH;8592791;46.216553, 6.119292;Y
BOHT07;Bouchet;VERNIER;CH;8592791;46.216564, 6.117633;N
BOHT99;Bouchet;VERNIER;CH;8592791;46.216576, 6.117036;N
BOLA00;Bois-du-Lan;MEYRIN;CH;8594933;46.227261, 6.078016;Y
BOLA01;Bois-du-Lan;MEYRIN;CH;8594933;46.227104, 6.078462;Y
BOND00;La Blonde;VANDOEUVRES;CH;8593132;46.215797, 6.195089;Y
BORL00;Route de Borly;CRANVES-SALES;FR;8595852;46.181137, 6.288656;N
BORN01;Bornes;PRESINGE;CH;8593080;46.20718, 6.245111;Y
BOURJ00;Bourjaillet;SAINT-CERGUES;FR;;46.227715, 6.306714;N
BOVE03;La Boverie;SATIGNY;CH;8587419;46.208073, 6.027277;N
BRAC01;Collex, Bracasset;COLLEX-BOSSY;CH;8511615;46.272884, 6.128984;N
BRANST;Branvaude (Stationnement);CHAVANNES-DES-BOIS;CH;;46.320648, 6.135214;N
BRDX00;Bardonnex, village;BARDONNEX;CH;8587033;46.148983, 6.104319;Y
BRDX01;Bardonnex, Village;BARDONNEX;CH;8587033;46.044125, 6.146775;N
BRET01;Prévessin-Bretonnière;PRÉVESSIN-MOËNS;FR;1401777;46.250862, 6.075119;Y
BRGE01;Bergère;SATIGNY;CH;8504813;46.223614, 6.057627;Y
BRIS01;Bristol - Four-Seasons;GENÈVE;CH;;46.207912, 6.146542;N
BRJ;B roulement Jonction;;CH;;;N
BRJ2;B roulement Jonction;;CH;;;N
BROS01;Bois de la Rose;VILLE-LA-GRAND;FR;;46.203804, 6.278353;N
BRUN00;Ferney-Brunette;FERNEY-VOLTAIRE;FR;1401734;46.253513, 6.116879;N
BSEJ00;Beau-Séjour;GENÈVE;CH;8592786;46.188812, 6.15038;Y
BSNE00;Bossonnets;GAILLARD;FR;8595751;46.186726, 6.20802;N
BSOU03;Bourdigny-Dessous;SATIGNY;CH;8595040;46.222923, 6.038368;N
BSSY00;Bassy;ANIÈRES;CH;8595008;46.278767, 6.230383;Y
BSSY01;Bassy;ANIÈRES;CH;8595008;46.278431, 6.229703;Y
BTIQ01;La Boutique;VALLEIRY;FR;1401709;46.111385, 5.991247;N
BTNI00;Butini;GENÈVE;CH;8592795;46.21701, 6.147872;Y
BTNIST;Butini (ST);GENÈVE;CH;8592795;46.216881, 6.14798;N
BTPA00;Belle-Terre-Place-de-l'Araire;THÔNEX;CH;8509321;46.206123, 6.218117;Y
BTPA02;Belle-Terre-Place-de-l'Araire;THÔNEX;CH;8509321;46.20615, 6.218336;Y
BTTT01;Belle-Terre-Traité-de-Turin;THÔNEX;CH;8509319;46.204262, 6.214115;Y
BUGN00;Bugnons;MEYRIN;CH;8595458;46.235943, 6.077294;Y
BUGN01;Bugnons;MEYRIN;CH;8595458;46.235962, 6.077501;Y
BUSS00;Les Bussioz;SAINT-CERGUES;FR;8595810;46.248653, 6.328156;N
BVRD00;Bonvard;CHOULEX;CH;8592717;46.232658, 6.211118;Y
BXCH00;???Bernex-Chancy;BERNEX;CH;;46.493847, 6.136055;N
BXEC00;Bernex En-Combes;BERNEX;CH;;46.493847, 6.136055;N
BXEG00;Bernex-Eglise;BERNEX;CH;8592650;46.174389, 6.070206;Y
BXEG01;Bernex-Eglise;BERNEX;CH;8592650;46.174458, 6.0708;Y
BXEG99;Bernex-Eglise;BERNEX;CH;8592650;46.17556, 6.06949;N
BXMA01;Bernex-Mairie;BERNEX;CH;8592657;46.175468, 6.073404;Y
BXPL02;Bernex-Place;BERNEX;CH;8587034;46.177147, 6.076819;Y
BXSA00;Bernex-Saule;BERNEX;CH;8592663;46.173889, 6.064624;N
BXSM00;Bernex-St Mathieu;BERNEX;CH;;46.180382, 6.078722;N
BXSM01;Bernex-St Mathieu;BERNEX;CH;;46.180416, 6.078815;N
CAAM00;Carre-d'Amont;MEINIER;CH;8587925;46.236217, 6.217183;Y
CABO01;Bains de Cressy;CONFIGNON;CH;8592754;46.18549, 6.087764;Y
CABOU00;Cabouet;CRANVES-SALES;FR;;46.217766, 6.306226;N
CAGA00;Gardiol;GENÈVE;CH;8592944;46.228947, 6.120924;N
CALI99;Californie;VILLE-LA-GRAND;FR;;46.200512, 6.265795;N
CAMA01;Carouge-Marché;CAROUGE;CH;8592677;46.184368, 6.140394;Y
CAMA02;Carouge-Marché;CAROUGE;CH;8592677;46.183311, 6.141118;N
CAPI00;Capite;COLLONGE-BELLERIVE;CH;8587069;46.234718, 6.203811;Y
CAPI01;Capite;COLLONGE-BELLERIVE;CH;8587069;46.234718, 6.203707;Y
CAPI99;Capite;COLLONGE-BELLERIVE;CH;8587069;46.235447, 6.203304;N
CAST01;Castan;CHÊNE-BOUGERIES;CH;8592693;46.206261, 6.196694;N
CAVX00;Canal de Versoix;VERSOIX;CH;8595663;46.280598, 6.159184;Y
CBFO00;Chambésy-Fontaine;PREGNY-CHAMBÉSY;CH;8587039;46.243088, 6.140627;Y
CBFO02;Chambésy-Fontaine;PREGNY-CHAMBÉSY;CH;8587039;46.243732, 6.140936;Y
CBFO99;Chambésy-Fontaine;PREGNY-CHAMBÉSY;CH;8587039;46.24329, 6.140428;N
CBGA00;Chambésy-Gare;PREGNY-CHAMBÉSY;CH;8503247;46.243137, 6.147513;Y
CBGA99;Chambésy-Gare;PREGNY-CHAMBÉSY;CH;8503247;46.243225, 6.147367;N
CBGE01;Chêne-Bourg-Gare-Tour;CHÊNE-BOURG;CH;8507345;46.195812, 6.199886;N
CBGE96;Chêne-Bourg-Gare-Tour;CHÊNE-BOURG;CH;8507345;46.196983, 6.200174;N
CBGE97;Chêne-Bourg-Gare-Tour;CHÊNE-BOURG;CH;8507345;46.195267, 6.199212;Y
CBGO04;Chêne-Bourg-Gare-Place;CHÊNE-BOURG;CH;8592708;46.196003, 6.195321;N
CBOI00;Chemin des Bois;VEYRIER;CH;8593195;46.163498, 6.167888;Y
CBOI01;Chemin des Bois;VEYRIER;CH;8593195;46.163574, 6.168806;Y
CBPL99;Chambésy-Place;PREGNY-CHAMBÉSY;CH;8593076;46.241879, 6.143533;N
CBRI01;De-Chateaubriand;GENÈVE;CH;8592803;46.216839, 6.15087;Y
CCAP99;Crêts-de-La-Capite;COLLONGE-BELLERIVE;CH;8592732;46.235691, 6.207925;N
CCHAST;Champel Stationnement;GENÈVE;CH;8592813;46.187275, 6.159386;N
CCLA01;Collège Claparède;CHÊNE-BOUGERIES;CH;8592704;46.190121, 6.186388;Y
CCOL00;Cologny-Croisée;COLOGNY;CH;8587047;46.212692, 6.183794;Y
CCOL02;Cologny-Croisée;COLOGNY;CH;8587047;46.21207, 6.18346;Y
CCOL99;Cologny-Croisée;COLOGNY;CH;8587047;46.211956, 6.183667;N
CCOLST;Cologny-Croisée Stationnement;COLOGNY;CH;8587047;46.21244, 6.184331;N
CCVT00;Croix-de-Chavant;CONFIGNON;CH;8592756;46.172394, 6.082844;Y
CCVT01;Croix-de-Chavant;CONFIGNON;CH;8592756;46.171944, 6.082454;Y
CCVT99;Croix-de-Chavant;CONFIGNON;CH;8592756;46.172306, 6.082573;N
CDCH00;Champ-Dollon (chalet);CHOULEX;CH;8595229;46.213474, 6.220932;N
CDOL02;Champ-Dollon;THÔNEX;CH;8595225;46.209843, 6.216855;N
CDOL03;Champ-Dollon;THÔNEX;CH;8595225;46.209858, 6.216581;N
CDSU00;Champ-Dollon-Sud;CHOULEX;CH;8595229;46.213593, 6.221086;Y
CEAU00;Eaumorte-Croisée;CARTIGNY;CH;8592685;46.166103, 6.025015;Y
CEBE01;Bois-Chébé;VERNIER;CH;8593143;46.20702, 6.073184;Y
CECO01;Châtelaine-Ecole;VERNIER;CH;;46.211391, 6.110591;N
CEDR00;Cèdre;VETRAZ-MONTHOUX;FR;8595754;46.178001, 6.242577;N
CEGA00;Céligny-Gare;VAUD;CH;8588665;46.347889, 6.199758;N
CEND00;Cendrier;GENÈVE;CH;;46.207363, 6.144948;N
CENT01;Centenaire;PLAN-LES-OUATES;CH;8593054;46.169773, 6.10864;N
CEPR01;Chemin de l'Eperon;CHÊNE-BOUGERIES;CH;8592703;46.203808, 6.187291;Y
CERI00;Cerisiers;PRÉVESSIN-MOËNS;FR;;;N
CERI01;Cerisiers;PRÉVESSIN-MOËNS;FR;;;N
CERN00;CERN;MEYRIN;CH;8587918;46.233578, 6.055248;Y
CERN95;CERN;MEYRIN;CH;8587918;46.233242, 6.055974;N
CERNST;CERN Stationnement;MEYRIN;CH;8587918;46.233315, 6.055942;N
CERV00;Cervonnex;SAINT-JULIEN-EN-GENEVOIS;FR;1401235;46.132874, 6.086401;N
CESL01;Collège P. Langevin;VILLE-LA-GRAND;FR;8595765;46.202393, 6.256631;N
CESL02;Collège P. Langevin;VILLE-LA-GRAND;FR;8595765;46.201637, 6.258396;N
CESL03;Collège P. Langevin;VILLE-LA-GRAND;FR;8595765;46.201931, 6.258611;N
CETX01;Certoux, village;PERLY-CERTOUX;CH;8593045;46.155983, 6.081582;Y
CETX99;Certoux, village;PERLY-CERTOUX;CH;8593045;46.155956, 6.081622;N
CFOU98;Chemin des Fours;COLOGNY;CH;8587046;46.21661, 6.1871;N
CFRE01;Champs-Fréchets;MEYRIN;CH;8593008;46.237209, 6.080323;Y
CGNY00;Chougny;VANDOEUVRES;CH;8587042;46.218723, 6.198665;Y
CGTH00;Creux-de-Genthod;GENTHOD;CH;8592931;46.260262, 6.157678;N
CGTH99;Creux-de-Genthod;GENTHOD;CH;8592931;46.263519, 6.161183;N
CHAB00;Beaumont le Châble;NEYDENS;FR;1400398;46.098907, 6.103512;N
CHAB01;Beaumont le Châble;NEYDENS;FR;1400398;46.098869, 6.103448;N
CHAB02;Beaumont le Châble;NEYDENS;FR;1400398;46.098801, 6.103422;N
CHAR00;Charrot;BARDONNEX;CH;8592644;46.147808, 6.118742;Y
CHAT00;Châtelaine;GAILLARD;FR;8595762;46.182716, 6.215273;N
CHAV00;Chavannes-des-Bois;CHAVANNES-DES-BOIS;CH;8588298;46.314785, 6.132787;Y
CHAV01;Chavannes-des-Bois;CHAVANNES-DES-BOIS;CH;8588298;46.315578, 6.131055;N
CHAV02;Chavannes-des-Bois;CHAVANNES-DES-BOIS;CH;8588298;46.315628, 6.131209;N
CHBL00;Chablais;ANNEMASSE;FR;8595756;46.19709, 6.238115;N
CHBL01;Chablais;ANNEMASSE;FR;8595756;46.196926, 6.238093;N
CHBO01;Bois;VEYRIER;CH;;46.167065, 6.172379;N
CHCA00;Choulex;CHOULEX;CH;8587043;46.222946, 6.222834;N
CHCL00;Vernier-Champ-Claude;VERNIER;CH;8593150;46.21777, 6.08839;Y
